customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00031,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,99.93,2700.38,Yes
C00032,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),99.8,6482.48,No
C00033,Male,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),100.61,1490.28,Yes
C00034,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,103.58,7362.51,No
C00035,Female,0,Yes,No,5,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),68.93,341.38,Yes
C00036,Male,1,Yes,Yes,31,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.06,2666.69,Yes
C00037,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,105.11,3064.4,No
C00038,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,49.99,1997.21,No
C00039,Male,0,Yes,No,34,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.16,2423.07,No
C00040,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),111.4,2331.07,No
C00041,Male,1,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,53.79,1151.93,Yes
C00042,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.64,6014.92,No
C00043,Female,1,No,No,32,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.5,1764.97,No
C00044,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),47.03,67.42,Yes
C00045,Male,1,No,No,23,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.81,1634.91,No
C00046,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,103.2,2481.45,No
C00047,Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),89.1,2135.97,No
C00048,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.64,2019.17,No
C00049,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,110.04,1976.49,No
C00050,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,40.67,1480.83,No
C00051,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.47,6290.73,No
C00052,Male,0,No,No,66,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),66.05,4356.89,No
C00053,Male,0,Yes,Yes,17,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.13,1427.5,Yes
C00054,Male,0,Yes,No,33,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.28,2687.44,No
C00055,Male,0,No,No,1,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),79.67,79.14,No
C00056,Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,89.22,4109.6,No
C00057,Female,0,No,No,9,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),48.96,444.97,No
C00058,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.72,924.24,Yes
C00059,Female,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,102.9,2771.1,No
C00060,Female,0,Yes,No,63,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.76,4577.12,No
C00061,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),101.38,3756.68,No
C00062,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,120.0,3234.45,No
C00063,Male,1,Yes,No,48,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.67,3589.99,No
C00064,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.88,3400.91,No
C00065,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,62.63,69.61,Yes
C00066,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,73.59,1313.37,No
C00067,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.75,7537.35,No
C00068,Male,0,Yes,Yes,72,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,77.92,5610.25,No
C00069,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),109.55,1635.35,No
C00070,Male,0,Yes,No,57,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,59.08,3363.39,No
C00071,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),73.66,1099.79,No
C00072,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,99.0,1092.02,Yes
C00073,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.77,1022.24,No
C00074,Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),102.47,6251.15,No
C00075,Female,1,No,No,25,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.36,2098.17,Yes
C00076,Male,1,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),40.2,2445.5,No
C00077,Male,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.37,2291.34,No
C00078,Male,0,Yes,No,20,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),77.79,1570.53,Yes
C00079,Female,0,No,Yes,20,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),78.41,1553.82,No
C00080,Female,0,No,No,25,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),80.47,2000.54,No
C00081,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,107.31,3326.11,Yes
C00082,Male,0,No,No,28,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),62.79,1747.64,No
C00083,Male,1,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),110.66,3645.11,Yes
C00084,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),100.03,2193.04,Yes
C00085,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),110.9,1089.79,No
C00086,Female,0,No,Yes,72,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),54.72,3939.83,No
C00087,Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,106.18,1895.47,No
C00088,Male,0,No,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.05,542.93,Yes
C00089,Female,0,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.95,2286.97,No
C00090,Female,0,No,No,12,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,52.89,630.73,No
C00091,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,107.82,5058.38,No
C00092,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.53,1743.18,No
C00093,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.03,7708.91,No
C00094,Male,0,No,Yes,72,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),84.33,6053.7,No
C00095,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.97,2082.08,No
C00096,Male,0,Yes,No,44,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.85,3032.23,No
C00097,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,85.48,3232.86,No
C00098,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,101.11,1722.71,Yes
C00099,Female,0,Yes,No,50,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.01,4037.54,No
C00100,Male,0,No,Yes,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,68.03,2239.62,No
C00101,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.61,2824.12,No
C00102,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),110.02,5157.58,No
C00103,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,101.13,2820.04,No
C00104,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),107.04,1627.23,No
C00105,Female,1,Yes,Yes,44,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.73,2302.04,No
C00106,Female,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,109.31,5802.0,Yes
C00107,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),92.79,4916.03,No
C00108,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.67,5397.78,Yes
C00109,Male,0,No,No,40,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.78,3242.56,No
C00110,Female,1,Yes,No,6,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.25,366.6,Yes
C00111,Male,0,No,Yes,72,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,52.58,3778.55,No
C00112,Female,0,No,No,52,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,86.71,4517.65,No
C00113,Female,0,Yes,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,83.93,1930.01,No
C00114,Male,0,No,No,58,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,88.05,5096.78,No
C00115,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.36,435.8,Yes
C00116,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.61,1930.27,No
C00117,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.98,1048.81,No
C00118,Male,0,No,No,12,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.39,856.34,No
C00119,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,104.97,1161.31,No
C00120,Male,0,No,Yes,42,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),62.85,2626.63,No
C00121,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,98.88,4563.76,Yes
C00122,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,79.53,1091.54,No
C00123,Female,0,No,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,463.5,No
C00124,Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.58,1353.72,No
C00125,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,108.65,2180.98,No
C00126,Female,0,No,No,72,No,No phone service,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),48.77,3505.64,No
C00127,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),114.82,4930.25,Yes
C00128,Female,1,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),107.02,3012.68,Yes
C00129,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.15,6373.27,Yes
C00130,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.67,932.03,Yes
C00131,Female,0,No,No,40,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),53.1,2136.93,No
C00132,Female,0,No,No,43,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,60.07,2585.76,No
C00133,Male,0,Yes,No,53,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,87.26,4618.44,No
C00134,Female,0,No,Yes,18,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,79.09,1441.99,No
C00135,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.9,405.07,Yes
C00136,Male,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.34,3089.9,No
C00137,Female,1,No,No,33,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,64.11,2117.26,No
C00138,Male,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.48,2157.11,No
C00139,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.13,1137.69,No
C00140,Male,1,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.9,534.2,Yes
C00141,Female,1,No,Yes,35,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.48,2737.41,Yes
C00142,Male,0,Yes,No,30,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,88.34,2667.97,No
C00143,Male,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,69.01,4488.94,No
C00144,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),106.62,5010.61,Yes
C00145,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.92,5089.82,No
C00146,Female,0,Yes,Yes,62,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),71.83,4460.39,No
C00147,Male,0,No,No,37,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,83.5,3083.2,No
C00148,Male,0,No,Yes,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),74.68,5365.01,No
C00149,Female,0,No,Yes,18,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),81.61,1464.21,Yes
C00150,Male,0,No,No,62,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.88,4651.18,No
C00151,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,110.46,439.23,No
C00152,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),86.73,422.08,No
C00153,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,97.12,1069.93,No
C00154,Male,1,No,Yes,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,118.31,3447.78,No
C00155,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.91,174.94,Yes
C00156,Female,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),114.47,3188.48,Yes
C00157,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.19,787.49,No
C00158,Female,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.48,2909.14,No
C00159,Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,95.63,764.99,Yes
C00160,Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),99.22,3378.64,Yes
C00161,Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.24,4894.74,Yes
C00162,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.43,2405.7,No
C00163,Male,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.76,2214.2,No
C00164,Male,0,No,No,68,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),71.47,4843.0,No
C00165,Male,0,Yes,No,38,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,77.96,2964.58,No
C00166,Female,1,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,109.48,1734.47,No
C00167,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),103.51,741.61,Yes
C00168,Male,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.28,2226.41,No
C00169,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.9,936.06,Yes
C00170,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,78.59,233.3,Yes
C00171,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,106.1,2440.78,No
C00172,Male,0,No,No,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,527.65,No
C00173,Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,100.99,7279.51,No
C00174,Female,0,Yes,No,25,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,78.25,1940.16,No
C00175,Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),49.93,1495.35,No
C00176,Male,0,Yes,No,31,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),46.94,1445.42,Yes
C00177,Female,0,No,Yes,61,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.67,4630.38,No
C00178,Male,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,35.85,577.4,Yes
C00179,Female,1,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.18,1648.07,No
C00180,Female,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.11,2198.82,No
C00181,Female,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.25,4777.01,No
C00182,Male,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.88,6630.43,Yes
